delivery_in,price (EGP)
2025,20604489.17336874
2026,15448716.755779635
2027,15790922.772566892
2028,17894359.73106198
2029,21122914.641412057
2030,19856446.098726116
2031,
2032,
2033,
2034,12926000.0
2035,
2036,
2037,
2038,
2039,
2040,
2041,
2042,
2043,
2044,
2045,
2046,
2047,
2048,
2049,
2050,
2051,
2052,
2053,
2054,
2055,
2056,
2057,
2058,
2059,
2060,
2061,
2062,
2063,
2064,
2065,
2066,
2067,
2068,
2069,
2070,
2071,
2072,
2073,
2074,
2075,
2076,
2077,
Delivered,19629530.18126819
,29000000.0
